management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date
서울특별시 강남구청,서울특별시 강남구 도산대로 144 (논현동),서울특별시 강남구 논현동 6,생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.51736,127.02469,2020-02-27
서울특별시 강남구청,"서울특별시 강남구 강남대로146길 28 (논현동, 논현아파트)",서울특별시 강남구 논현동 22,생활방범,5,200,360전방면,30,2020-08,02-3423-6772,37.51402,127.02166,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로140길 47 (논현동),서울특별시 강남구 논현동 28-21 (학동공원 코너),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.51577,127.0267,2020-02-27
서울특별시 강남구청,"서울특별시 강남구 논현로145길 11 (논현동, 논현힐스빌5차)",서울특별시 강남구 논현동 32-4,생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.51762,127.02766,2020-02-27
서울특별시 강남구청,,서울특별시 강남구 논현동 47-13 (논현은행나무공원 코너),생활방범,1,200,360전방면,30,2020-08,02-3423-6772,37.51245,127.02242,2020-02-27
서울특별시 강남구청,서울특별시 강남구 학동로17길 12 (논현동),서울특별시 강남구 논현동 40 (논현골프연습장),생활방범,1,41,360전방면,30,2020-07,02-3423-6772,37.5137,127.02702,2020-02-27
서울특별시 강남구청,,서울특별시 강남구 논현동 137-18 (논현목련공원 코너),생활방범,5,200,360전방면,30,2020-06,02-3423-6772,37.51067,127.02672,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로122길 5 (논현동),서울특별시 강남구 논현동 164-12,생활방범,5,200,360전방면,30,2020-07,02-3423-6772,37.50764,127.02384,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로120길 33 (논현동),서울특별시 강남구 논현동 181-1 (논현초 후문),생활방범,5,200,360전방면,30,2020-12,02-3423-6772,37.50761,127.02595,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로122길 50 (논현동),서울특별시 강남구 논현동 169,생활방범,5,200,360전방면,30,2020-11,02-3423-6772,37.50889,127.027,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로120길 49 (논현동),서울특별시 강남구 논현동 170-29,생활방범,4,200,360전방면,30,2020-07,02-3423-6772,37.50787,127.02745,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로118길 49 (논현동),서울특별시 강남구 논현동 181-15,생활방범,5,200,360전방면,30,2020-07,02-3423-6772,37.50743,127.02699,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로116길 18 (논현동),서울특별시 강남구 논현동 184-9,생활방범,1,41,360전방면,30,2020-01,02-3423-6772,37.50642,127.02562,2020-02-27
서울특별시 강남구청,"서울특별시 강남구 봉은사로11길 12 (논현동, 논현e편한세상)",서울특별시 강남구 논현동 195-1 (e-편한세상 입구),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.50684,127.02853,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로140길 47 (논현동),서울특별시 강남구 논현동 12-18 (학동공원 담장),생활방범,1,200,360전방면,30,2020-04,02-3423-6772,37.516,127.02501,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로128길 48 (논현동),서울특별시 강남구 논현동 139,생활방범,1,200,360전방면,30,2020-04,02-3423-6772,37.51127,127.02563,2020-02-27
서울특별시 강남구청,서울특별시 강남구 논현로113길 12 (논현동),서울특별시 강남구 논현동 191-3,생활방범,1,200,360전방면,30,2020-06,02-3423-6772,37.50846,127.03222,2020-02-27
서울특별시 강남구청,서울특별시 강남구 봉은사로13길 10 (논현동),서울특별시 강남구 논현동 194,생활방범,1,200,360전방면,30,2020-04,02-3423-6772,37.50686,127.02957,2020-02-27
서울특별시 강남구청,서울특별시 강남구 도산대로16길 13-16 (논현동),서울특별시 강남구 논현동 10-26,생활방범,1,200,360전방면,30,2020-12,02-3423-6772,37.51749,127.02588,2020-02-27
서울특별시 강남구청,서울특별시 강남구 도산대로8길 22 (논현동),서울특별시 강남구 논현동 16-31,생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.51547,127.02239,2020-02-27
서울특별시 강남구청,"서울특별시 강남구 강남대로146길 28 (논현동, 논현아파트)",서울특별시 강남구 논현동 15-7 (논현신동아파밀리에A 담장),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.51549,127.0236,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로140길 46 (논현동),서울특별시 강남구 논현동 25,생활방범,5,200,360전방면,30,2020-12,02-3423-6772,37.51448,127.02421,2020-02-27
서울특별시 강남구청,서울특별시 강남구 학동로20길 19-1 (논현동),서울특별시 강남구 논현동 127-9,생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.51197,127.02858,2020-02-27
서울특별시 강남구청,서울특별시 강남구 강남대로126길 29 (논현동),서울특별시 강남구 논현동 140-11,생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.50986,127.02471,2020-02-27
서울특별시 강남구청,서울특별시 강남구 논현로123길 19 (논현동),서울특별시 강남구 논현동 132-14 (논현개나리공원 담장),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.51133,127.02947,2020-02-27
서울특별시 강남구청,서울특별시 강남구 논현로123길 19 (논현동),서울특별시 강남구 논현동 151 (논현개나리공원 입구),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.51153,127.03009,2020-02-27
